iter	Passed	Remaining
403	10094	14892
404	10117	14864
405	10138	14833
406	10158	14801
407	10185	14778
408	10214	14759
409	10240	14736
410	10269	14717
411	10293	14690
412	10317	14663
413	10341	14638
414	10365	14611
415	10385	14580
416	10408	14552
417	10431	14524
418	10452	14493
419	10473	14463
420	10494	14432
421	10515	14402
422	10535	14371
423	10556	14340
424	10577	14310
425	10599	14282
426	10620	14252
427	10643	14224
428	10664	14193
429	10685	14164
430	10706	14134
431	10727	14104
432	10747	14074
433	10769	14045
434	10793	14018
435	10815	13990
436	10836	13961
437	10859	13933
438	10881	13905
439	10904	13878
440	10925	13849
441	10950	13823
442	10976	13801
443	10999	13774
444	11026	13752
445	11052	13729
446	11079	13707
447	11101	13678
448	11123	13650
449	11145	13622
450	11170	13597
451	11192	13569
452	11218	13546
453	11247	13526
454	11275	13505
455	11305	13486
456	11327	13459
457	11357	13441
458	11380	13413
459	11409	13393
460	11441	13377
461	11468	13354
462	11495	13332
463	11519	13306
464	11541	13279
465	11568	13256
466	11590	13228
467	11615	13203
468	11641	13180
469	11670	13160
470	11698	13138
471	11725	13116
472	11748	13089
473	11771	13062
474	11800	13042
475	11826	13019
476	11852	12995
477	11878	12972
478	11904	12947
479	11926	12920
480	11953	12897
481	11979	12874
482	12005	12850
483	12029	12825
484	12057	12803
485	12085	12782
486	12112	12759
487	12185	12785
488	12224	12774
489	12269	12770
490	12306	12757
491	12346	12748
492	12388	12740
493	12429	12731
494	12463	12715
495	12489	12690
496	12523	12674
497	12550	12651
498	12586	12637
499	12612	12612
500	12654	12603
501	12689	12588
502	12724	12572
503	12757	12554
504	12791	12538
505	12826	12522
506	12855	12500
507	12888	12483
508	12920	12463
509	12945	12437
510	12980	12421
511	13012	12402
512	13048	12386
513	13077	12365
514	13101	12338
515	13138	12323
516	13166	12300
517	13190	12274
518	13223	12255
519	13247	12228
520	13274	12204
521	13307	12185
522	13334	12161
523	13358	12134
524	13392	12116
525	13426	12099
526	13456	12077
527	13493	12062
528	13523	12040
529	13557	12022
530	13593	12006
531	13622	11984
532	13652	11961
533	13678	11936
534	13723	11927
535	13747	11900
536	13772	11874
537	13813	11861
538	13844	11841
539	13869	11815
540	13901	11794
541	13926	11768
542	13959	11748
543	13985	11723
544	14009	11695
545	14033	11668
546	14055	11640
547	14081	11614
548	14105	11587
549	14126	11558
550	14149	11529
551	14172	11502
552	14196	11475
553	14219	11447
554	14242	11420
555	14265	11391
556	14287	11363
557	14309	11334
558	14331	11306
559	14356	11279
560	14378	11251
561	14402	11224
562	14426	11197
563	14447	11168
564	14470	11140
565	14490	11111
566	14511	11081
567	14532	11053
568	14553	11024
569	14574	10995
570	14595	10965
571	14618	10938
572	14639	10909
573	14659	10880
574	14680	10851
575	14701	10821
576	14724	10794
577	14745	10765
578	14770	10739
579	14791	10711
580	14814	10683
581	14840	10658
582	14862	10630
583	14888	10605
584	14916	10581
585	14939	10554
586	14963	10527
587	14984	10499
588	15004	10470
589	15025	10441
590	15049	10414
591	15070	10386
592	15094	10360
593	15115	10331
594	15136	10302
595	15160	10276
596	15181	10248
597	15202	10219
598	15229	10195
599	15250	10166
600	15270	10138
601	15293	10110
602	15314	10082
603	15334	10053
604	15360	10028
605	15381	10000
606	15406	9975
607	15427	9946
608	15448	9918
609	15468	9889
610	15490	9862
611	15511	9834
612	15532	9805
613	15552	9777
614	15575	9750
615	15596	9722
616	15616	9694
617	15637	9665
618	15660	9639
619	15683	9612
620	15706	9585
621	15727	9558
622	15751	9531
623	15773	9504
624	15797	9478
625	15818	9450
626	15839	9422
627	15862	9396
628	15885	9369
629	15910	9344
630	15931	9316
631	15952	9288
632	15972	9260
633	15992	9232
634	16013	9204
635	16037	9178
636	16063	9153
637	16087	9127
638	16110	9101
639	16130	9073
640	16150	9045
641	16172	9018
642	16194	8991
643	16214	8963
644	16237	8936
645	16258	8909
646	16281	8883
647	16305	8857
648	16329	8831
649	16349	8803
650	16370	8775
651	16390	8748
652	16410	8720
653	16432	8693
654	16452	8665
655	16472	8638
656	16493	8610
657	16514	8583
658	16533	8555
659	16553	8527
660	16574	8500
661	16595	8473
662	16616	8446
663	16636	8418
664	16656	8390
665	16676	8363
666	16698	8336
667	16718	8309
668	16739	8282
669	16761	8255
670	16782	8228
671	16805	8202
672	16826	8175
673	16846	8148
674	16867	8121
675	16886	8093
676	16907	8066
677	16926	8038
678	16946	8011
679	16966	7984
680	16988	7957
681	17008	7930
682	17029	7904
683	17050	7877
684	17070	7849
685	17090	7822
686	17109	7795
687	17129	7768
688	17149	7741
689	17171	7714
690	17191	7687
691	17211	7660
692	17233	7634
693	17252	7607
694	17273	7580
695	17294	7554
696	17314	7527
697	17334	7500
698	17356	7473
699	17377	7447
700	17397	7420
701	17418	7394
702	17441	7368
703	17461	7341
704	17482	7315
705	17503	7288
706	17524	7262
707	17546	7236
708	17568	7210
709	17589	7184
710	17609	7157
711	17629	7131
712	17650	7104
713	17670	7078
714	17692	7052
715	17712	7025
716	17733	6999
717	17755	6973
718	17775	6947
719	17795	6920
720	17815	6893
721	17835	6867
722	17855	6840
723	17881	6816
724	17902	6790
725	17927	6766
726	17955	6742
727	17975	6716
728	17996	6690
729	18016	6663
730	18035	6636
731	18057	6611
732	18078	6585
733	18098	6558
734	18118	6532
735	18137	6505
736	18157	6479
737	18177	6453
738	18197	6426
739	18217	6400
740	18238	6374
741	18258	6348
742	18279	6322
743	18300	6296
744	18321	6271
745	18341	6245
746	18365	6220
747	18386	6194
748	18406	6168
749	18428	6142
750	18448	6116
751	18469	6091
752	18492	6065
753	18516	6041
754	18539	6016
755	18560	5990
756	18580	5964
757	18602	5939
758	18625	5914
759	18647	5888
760	18668	5862
761	18695	5839
762	18716	5813
763	18738	5788
764	18761	5763
765	18784	5738
766	18813	5715
767	18837	5690
